"title","genre","creative_type","source","release","rating","budget","us_gross","worldwide_gross","rotten_rating","imdb_rating","imdb_votes"
"Kingdom of Heaven","어드벤처","역사소설","없음","2000년대","19세이상","1100","473","2113","39","7.1","83,189"
"Knowing","스릴러","현대소설","책","2000년대","15세이상","500","799","1878","32","6.4","58,138"
"K-PAX","드라마","공상과학","책","2000년대","15세이상","480","503","503","40","7.3","50,475"
"King's Ransom","코미디","현대소설","없음","2000년대","15세이상","250","40","40","2","3.5","2,251"
"Kundun","드라마","각색","없음","90년대","15세이상","280","56","56","76","7","10,248"
"Ladder 49","액션","현대소설","없음","2000년대","15세이상","600","745","1023","40","6.5","23,369"
"The Life Aquatic with Steve Zissou","코미디","현대소설","없음","2000년대","19세이상","500","240","348","53","7.2","57,889"
"Like Mike","코미디","아동소설","없음","2000년대","7세이상","300","514","624","56","4.4","4,870"
"Lord of War","액션","현대소설","없음","2000년대","19세이상","420","241","621","61","7.7","80,124"
"The Last Samurai","액션","역사소설","없음","2000년대","19세이상","1200","1111","4568","65","7.8","106,002"
"Mad City","드라마","현대소설","없음","90년대","15세이상","500","105","105","37","6.1","9,611"
"Paul Blart: Mall Cop","코미디","현대소설","없음","2000년대","7세이상","260","1463","1804","35","5.3","23,753"
"Marci X","코미디","현대소설","없음","2000년대","19세이상","200","16","16","10","2.4","3,449"
"Meet Joe Black","드라마","판타지","없음","90년대","15세이상","850","446","446","50","6.9","56,067"
"Mindhunters","스릴러","현대소설","없음","2000년대","19세이상","270","44","165","26","6.2","23,357"
"Captain Corelli's Mandolin","드라마","역사소설","책","2000년대","19세이상","570","255","620","29","5.7","14,706"
"Moonlight Mile","드라마","현대소설","없음","2000년대","15세이상","210","68","68","62","6.7","8,346"
"Me and Orson Welles","드라마","역사소설","책","2000년대","15세이상","250","11","11","84","7.1","2,417"
"Meet the Spartans","코미디","역사소설","없음","2000년대","15세이상","300","382","846","2","2.4","47,281"
"The Matrix Reloaded","액션","공상과학","없음","2000년대","19세이상","1270","2815","7385","73","7.1","148,874"
"Murder by Numbers","스릴러","현대소설","없음","2000년대","19세이상","500","318","566","31","5.9","22,318"
"The Muse","코미디","현대소설","없음","90년대","15세이상","150","116","116","51","5.5","6,507"
"Night at the Museum","코미디","판타지","책","2000년대","7세이상","1100","2508","5744","43","6.4","67,133"
"Monsters vs. Aliens","어드벤처","판타지","만화","2000년대","7세이상","1750","1983","3816","72","6.8","26,582"
"A Mighty Wind","코미디","현대소설","없음","2000년대","15세이상","60","175","185","88","7.2","13,602"
"My Dog Skip","드라마","아동소설","없음","2000년대","7세이상","70","340","355","72","6.9","9,029"
"My Fellow Americans","코미디","현대소설","없음","90년대","15세이상","215","223","223","50","6.3","6,366"
"The Nativity Story","드라마","각색","책","2000년대","7세이상","350","376","464","37","6.6","4,701"
"In Good Company","코미디","현대소설","없음","2000년대","15세이상","260","454","634","84","6.8","25,695"
"Lucky Numbers","코미디","현대소설","없음","2000년대","19세이상","650","100","100","23","4.9","5,461"
"The Interpreter","스릴러","현대소설","없음","2000년대","15세이상","900","727","1639","58","6.5","38,227"
"The Number 23","스릴러","현대소설","없음","2000년대","19세이상","320","351","765","8","6.2","59,174"
"The New World","어드벤처","역사소설","없음","2000년대","15세이상","300","127","261","60","6.9","33,248"
"Ocean's Eleven","코미디","현대소설","영화","2000년대","15세이상","1100","1834","4507","81","7.6","139,034"
"Old School","코미디","현대소설","없음","2000년대","19세이상","240","751","863","60","7","60,477"
"Out of Time","스릴러","현대소설","없음","2000년대","15세이상","500","410","554","65","4.9","151"
"The Passion of the Christ","드라마","각색","책","2000년대","19세이상","250","3707","6118","50","7.1","87,326"
"A Perfect Getaway","스릴러","현대소설","없음","2000년대","19세이상","140","155","206","60","6.5","16,324"
"The Chronicles of Riddick","어드벤처","공상과학","없음","2000년대","15세이상","1200","577","1072","29","6.4","49,383"
"Planet of the Apes","어드벤처","공상과학","영화","2000년대","15세이상","1000","1800","3622","44","5.5","72,763"
"Possession","드라마","현대소설","책","2000년대","15세이상","250","101","148","64","6.4","6,789"
"Practical Magic","코미디","판타지","책","90년대","15세이상","600","468","683","21","5.5","20,196"
"Quarantine","호러","현대소설","없음","2000년대","19세이상","120","316","360","58","6.1","21,939"
"Rabbit-Proof Fence","드라마","역사소설","책","2000년대","7세이상","70","61","161","87","7.6","13,241"
"Ratatouille","코미디","판타지","없음","2000년대","전체관람가","1500","2064","6204","96","8.1","131,929"
"Robots","어드벤처","아동소설","없음","2000년대","7세이상","800","1282","2607","64","6.4","27,361"
"Red Dragon","스릴러","현대소설","책","2000년대","19세이상","780","929","2064","68","7.3","66,386"
